EFECTIVO,CXC,INVENTARIO,EQ_OFICINA,EQ_TRANSPORTE,TERRENOS_Y_CONSTRUCCIONES,CXP,CONTRIBUCIONES_X_PAGAR,ANTICIPOS_CTE,CAP_SOCIAL,UTILIDADES_ACUMULADAS,UTILIDAD_O_PERDIDA,TOTAL_VENTAS,TOTAL_COMPRAS,UTILIDAD_BRUTA,TOTAL_GASTOS,OBJETIVO
,6007420.207,3419440.329,925126.019,2714118.984,-6932323.772999999,9887457.615,137910.948,6658583.76,427336.6748,12034565.17,-4655913.698,111976828.9,153683989.9,4309329.304,4280727.342,Sospechoso
569127.9883,22439028.58,437765.4875,7890651.938999998,1058166.459,-8483013.077,25322623.96,155349.6369,,,,-2321389.795,139170150.8,45644967.82,,20177854.97,Sospechoso
1237529.082,10438964.93,7521306.679,3261519.08,2736537.6580000003,-164329.9522,25759789.31,,9136894.072,,10331630.88,-4993584.16,118036208.3,186673190.2,7764055.7420000015,7731725.536,Sospechoso
,8908873.719,23201.4941,15020723.73,1187826.602,-11256097.3,11465175.89,,3980076.866,152122.4628,9898131.798,,30972587.22,47903541.26,3817755.817,3996521.767,Sospechoso
850671.1328,24017771.53,9245750.701,1087693.013,747608.2346,-2388692.796,27495467.5,398976.9894,3750264.4460000005,1235040.816,13750179.48,-5813531.647999999,,133396319.9,11358849.49,12897258.99,Sospechoso
809032.1825,19325220.45,4331542.721,,54049.75768,-1760661.084,23413936.11,378503.5953,,1091299.625,11248307.07,-5634926.902000002,30930010.24,27039209.44,,12131665.04,Sospechoso
358720.0915,7604782.015,,472744.2809,820909.1845,-3230102.443,7286830.248,110783.8668,2776713.881,,9385196.094,-3143648.001,43170215.43,19744293.0,1438788.1630000004,3771017.404,Sospechoso
,30717288.37,,834329.5058,,-6204834.253,,507883.2185,1088295.437,1814205.524,21201935.25,-2218896.08,155011742.5,65964919.61,13583802.5,,Sospechoso
795446.1056,13094047.5,2391103.985,1340942.552,1021298.563,-3304756.568,,,146590.08,37593.67934,,-3145712.454,77079406.06,,2400512.904,14282278.54,Sospechoso
1789379.454,14990467.81,461485.4728,443086.5058,1858388.622,-13742683.26,4207752.899,1264245.935,4101252.893,,25942183.12,,124864149.9,49893678.73,,6297898.661,Sospechoso
555924.384,17382642.59,5451928.2179999985,1894017.529,1879320.604,-1013897.319,19243517.97,274591.5964,2673254.827,386185.8105,16352710.11,-3100377.433,154631764.1,59690321.57,10528232.7,11925867.43,Sospechoso
,20493368.72,483012.5437,546934.1009,876425.1709,-12761358.59,3932829.42,286851.7829,1976835.723,69800.39884,24383608.16,-3674501.676,114636761.5,29119732.45,3778650.546,4459671.898,Sospechoso
1262547.335,17252791.29,13861861.42,1920138.664,1344827.105,-573112.5444,26457744.86,,4667724.101,1195467.986,13606533.1,-6122515.832,,206948430.1,10919423.45,,Sospechoso
,5748617.791,552279.4503,854211.2238,1663424.354,,3852395.999,,,20996.11951,11925584.85,-5281301.375,55542836.36,56931362.84,1162879.738,2689181.622,Sospechoso
189902.5256,,2120541.591,4750971.1110000005,2011076.78,-93060.27751,,103497.7972,,21372.14404,12396092.88,,107980752.5,,,11279470.28,Sospechoso
711957.2331,15237256.82,7777438.397999999,514807.4304,636774.8676,-1629003.272,21149009.63,,3699785.366,441682.1376,12364604.45,-4913794.552,,43360209.79,6676649.699,7159982.079,Sospechoso
1261500.188,,1857932.794,3814499.786,643074.4647,-10793110.16,32396289.98,298667.6426,11835833.49,540286.5815,,,82782584.47,130753639.4,11080565.89,5848812.128,Sospechoso
,21466791.63,3383984.2660000008,846169.5713,333333.8746,,21052859.0,,2595938.829,1337146.772,15454023.05,-4010939.244,62952550.92,32594899.28,8077530.628,11765886.12,Sospechoso
662317.4539,27442512.53,15067295.76,430268.4641,,437842.4583,31465333.86,742565.338,1074750.368,3147576.122,15814429.33,-3839462.572,119604816.0,89612247.55,19889268.94,27980882.74,Sospechoso
,7301519.786,,,283810.8706,-5672173.18,8883396.84,,848117.3367,30537.23662,9697898.189,-3384038.7610000004,52979649.45,13172538.2,8802336.287999999,3855773.085,Sospechoso
904303.95,12252333.26,9991952.843,1008300.936,,804667.1590000001,20601350.84,207759.7592,2700838.882,1217749.925,9989092.988,-3676048.01,152349263.5,,8743898.17,13306743.11,Sospechoso
603052.3818,22596920.48,5092938.155,,650816.0703,-3957535.276,23297477.64,709689.8744,3355923.133,3799040.792,19525772.53,-2428733.108,148255901.7,26509301.59,11889632.96,12395305.48,Sospechoso
628772.9249,,1461088.157,1018789.696,269054.2466,-1967908.188,12234371.11,,,1682142.1630000004,1622031.53,-3919292.93,19310796.49,25972450.18,5011706.963,4917204.967,Sospechoso
256862.7706,9937284.508,10286854.12,175533.0213,506277.8901,1007627.177,20373772.37,,9584488.344,1094826.531,17961577.73,-5775852.702000001,116517703.2,,6288506.081,2756529.314,Sospechoso
3603228.718,13817606.77,838376.292,862848.3272,883905.7569,-12033338.4,,259612.8673,3124113.416,,11327000.33,-3928077.548,,60480434.45,1281114.674,,Sospechoso
1666232.155,23015424.12,14373.75096,21475399.55,1489406.907,-13487676.42,19041444.8,130033.2368,,92215.62528,,-4309855.231000002,51396378.05,121698995.3,5631876.887999998,10125333.34,Sospechoso
81385.3238,,368360.797,1512485.157,912420.0412,-1485970.967,9016564.242,195965.2483,1743167.311,69818.9645,17651967.93,-2478383.705,59848732.79,,7388967.88,5222449.6669999985,Sospechoso
1327678.494,26282805.66,293901.3161,29577856.96,849726.9256,-6299732.7420000015,23298747.53,441456.0866,1280654.423,,11841554.34,-2200185.381,69977383.17,23958441.03,8128970.281,14293554.76,Sospechoso
1803456.272,28428667.31,12363340.21,488662.0402,,,37254136.72,991134.6959,,11266549.56,11795433.45,,34720202.72,20551374.08,5806487.767000001,,Sospechoso
1238694.895,,622530.8223,1856284.378,,,2106259.614,85930.89732,1010857.911,23768.37825,5550235.707,,70684259.37,,1655594.85,4048402.004,Sospechoso
988376.4259,1742287.865,555372.1912,744640.6573,860292.7604,-7841060.805,1593889.884,100307.0595,,109858.9521,2665288.926,-4293953.6669999985,20224429.86,48396026.38,,1756791.804,Sospechoso
,,10118482.82,,1482444.2230000002,,8130502.828,1045148.438,7418622.884,516708.0452,29237436.51,-6531060.139,182387743.9,,,3275074.734,Sospechoso
527548.1375,3414863.935,1211066.171,1041938.902,556942.6727,-1953000.853,8804527.221,134863.7022,7944539.851,655184.6745,4036764.242,-5958474.345,,30674828.66,1186924.038,976713.6418,Sospechoso
,24414482.2,450456.7351,62822837.0,4339643.835,-13087319.98,,413801.0646,4752875.932,187848.5654,15806703.93,-3390776.793,158640812.0,323711922.0,11590082.99,14498737.14,Sospechoso
656703.8659,32294674.66,1740138.4430000002,,,-9247813.094,,,,174629.104,27273373.93,-7204582.436000002,126139051.8,205368355.8,3256008.7630000007,7017391.694,Sospechoso
1301846.471,9480295.195,107982.197,445491.7278,221207.7909,,3300501.385,475251.8705,2947126.707,2017352.717,12175078.31,-1866449.392,31519676.17,,3300201.359,2989194.971000001,Sospechoso
1303100.451,21706313.21,6420579.414,1184609.083,593844.4477,,21347840.2,2503801.813,2409044.999,,15250252.25,-3634518.938,87318528.32,74574581.25,12750338.71,18114031.2,Sospechoso
7061679.477000001,53504328.02,8748177.738,5818730.015,3485624.932,-12884425.58,,1814538.046,20437647.73,3710528.333,,-7201801.645,277430763.9,1214393158.0,,14060433.56,Sospechoso
1674578.459,34535855.92,11126895.86,5186937.893,2010319.832,-4733222.669,42468675.03,234202.1658,6430934.98,299624.4168,15923670.06,-5930559.562999999,181125124.0,371406020.9,20832514.38,16475161.81,Sospechoso
1659948.0869999996,16945136.23,16703653.88,207579.376,,-2788398.2210000004,23545125.75,418006.0594,7937531.887999998,4582874.688999998,10579828.06,,48878721.99,,9038792.19,,Sospechoso
743814.8235,27405655.73,11169021.17,98521.88574,,-4763930.672,25495124.43,1306268.542,2066404.782,9222757.119,,,54916271.13,119653777.4,23250164.27,22050395.95,Sospechoso
869326.4367,9108147.647,216726.6918,2608129.753,225563.6799,-10134935.36,4695389.248,228962.0196,2277556.746,22947.39386,16425640.31,-3186099.042,37096937.45,8300744.543,3059438.093000001,2969039.665,Sospechoso
313097.2211,15577402.51,,1930391.342,546956.3031,-1095335.709,26456740.75,89643.16398,1068332.257,138034.1166,10635469.09,-2969648.4080000008,,26525281.64,12965922.08,12526842.35,Sospechoso
,33631679.65,,2109525.45,759379.7159999999,-341666.5895,35728061.88,,1255391.937,31130.05184,27754322.27,-5847061.259,144172874.2,97034584.34,17602127.53,20653085.79,Sospechoso
1816324.128,53089298.11,,35092113.27,3144128.847,-11371721.39,46052885.64,911815.8682,12390065.97,47458.09209,33527397.57,-6952145.295,293953585.8,248105925.7,9214308.763,8880056.293,Sospechoso
221727.6095,4627057.47,383996.1543,474650.9952,,,4490756.975,109910.2702,2057287.78,11659.18157,15217098.42,-6891838.64,,16162518.95,390144.1909,869646.6151,Sospechoso
484626.2764,15577712.66,6886331.935,943816.836,,1823917.503,14241561.51,187137.0485,,511710.6107,12775075.51,-2961818.09,116810740.5,,5195255.88,8963665.538999999,Sospechoso
509142.0781,14762880.44,7230006.493,245191.2405,456130.6846,1626947.187,15897973.12,769501.4765,7469383.81,10762683.55,8171458.01,-2779954.85,59303374.44,19836486.15,6669358.481000002,,Sospechoso
1229812.928,8986094.42,1881559.937,5426800.254,2188014.592,-4983727.21,16127713.09,317057.1135,9083111.262,614675.4533,13115106.06,-4698322.437,82061235.32,84518062.86,3999411.093,4223010.327,Sospechoso
395921.1674,13410126.23,10731012.65,243844.1775,172731.5905,1043994.1,,142603.0847,8481040.931,1639051.995,,-3454599.973,67250803.61,19186751.6,20255188.77,6449407.857999999,Sospechoso
258025.9788,25445138.85,1170359.219,272294.2298,212390.985,-7117507.765,9957515.836,505595.2999,985564.8776,918320.0682,23376876.75,-2505056.476,85952741.88,10655374.85,6566575.97,10022713.79,Sospechoso
1480311.968,45336132.23,6674706.572000002,3726835.529,3254283.941,-8702013.935,41136129.77,264713.1804,4085847.06,516145.9361,19801123.9,,,852757328.2,21472605.47,22809145.24,Sospechoso
3869697.658,18297373.11,1025380.45,35531063.43,,-9172810.233,32837851.61,181258.6783,5532444.239,169125.44600000005,5622535.18,-6572471.0079999985,73412741.18,,,8887555.137,Sospechoso
474990.4817,7928241.581,4961713.261,,855960.9547,-790392.109,9708063.703,425022.7694,2118602.395,1474072.457,,-2389950.281,65836959.97,48490437.06,,10190681.09,Sospechoso
299868.6882,27827729.74,11594573.8,,,-830253.7990000001,25493792.44,635283.1256,,821581.2885,23205062.79,-4140127.939,168069712.6,42135316.4,17605304.77,17258234.76,Sospechoso
486797.0148,22121597.6,3776883.358,917314.7707,534737.5444,,15328382.21,368479.6128,616845.9987,86108.07728,21813046.96,,144873295.8,28260293.34,12882019.75,15512328.71,Sospechoso
800859.8028,30803571.06,5903450.9739999985,12124133.91,450071.695,,51589852.08,522916.3791,4646498.669,109541.5433,16520905.13,,110267513.8,,,11294498.45,Sospechoso
532141.392,14074089.77,6660853.262,,1046410.857,-821711.6963,11544786.98,115672.4372,1586258.97,149408.3497,11948702.71,-3512210.818,104907750.3,48537153.22,8314382.387999998,10282531.08,Sospechoso
1095005.801,7263289.674,24348.40069,8640696.748,3456216.337,-12349082.12,5734116.312000001,,2569071.574,17709.8006,18477650.15,-2173821.185,105668442.3,43421741.23,,3822439.47,Sospechoso
,29971094.92,524719.9557,,89580.56757999997,-11209575.34,24198060.34,812650.4446,6389200.152000002,3066866.68,12371674.25,,,,5607369.771000002,6127236.482000002,Sospechoso
474092.9308,,2005185.322,4283932.675,624396.294,-5904627.306,22617995.76,142075.3386,2406172.756,4854.765904,22037546.93,-7777038.415,85548315.02,92838455.46,1701418.4519999996,6250299.174,Sospechoso
144461.0842,18607541.79,15935531.23,317915.3156,1291283.896,1532731.8269999996,10475619.79,1551498.9009999996,12581788.67,376110.1154,28668577.54,,147977220.5,107196219.4,937609.9585,1102410.457,Sospechoso
3547377.262,45281336.56,17377666.22,,,-6158913.201,49443554.44,480464.6809,,3306300.454,11727561.29,-5197599.497,112158823.9,,31006782.07,33204545.51,Sospechoso
255482.5414,3796814.145,108242.219,775282.2342,461265.5003,-7794554.4339999985,3042358.813,45064.66445,4494850.8160000015,10199.17287,13246504.74,-4631415.17,,9680288.361,677398.9562,530504.5556,Sospechoso
2531183.894,9862037.188,1454347.009,1152764.306,259585.0937,-10139996.57,9059395.693,628752.7924,2241755.984,,8243103.025,-3579233.9289999995,23884988.52,69081537.68,9556802.443,11341716.62,Sospechoso
3427610.218000001,17102252.42,2862415.981,,2646046.215,-9261277.566,14408427.18,748368.5258,3335355.8880000007,1116509.771,13915475.81,,123342396.7,196804370.4,13836797.95,15839591.32,Sospechoso
1088912.211,14301355.49,418597.714,2448155.521,397942.0853,,,434844.7569,2464079.467,105392.2012,21069425.36,-4689082.964,80494947.64,18843524.04,2644159.0130000003,4498450.15,Sospechoso
1050082.23,,6172423.793,,985203.3212,-92010.76259,,159876.4188,556787.8714,125146.3231,,-3616910.658,101785609.5,70921463.42,10202913.88,19685501.41,Sospechoso
,,871928.2435,1329022.945,5154083.5589999985,-12155726.95,907696.2138,,,69557.56775,21069128.76,,138195793.0,,1487150.1609999996,2483708.433,Sospechoso
1181462.421,,2123877.373,19439914.01,1320703.973,-8566491.353,46328744.95,,2709235.847,1018138.898,22969327.4,-4998081.868,134208813.7,216742543.5,20666693.22,,Sospechoso
309743.3698,16182893.39,510627.2814,152440.5978,200908.4635,-11191959.88,,201375.6497,345430.6175,,19892732.49,-4501908.955,74066796.56,41367109.39,8415649.777,10470300.24,Sospechoso
,,4945223.747,446044.562,1260991.046,-2779691.466,10036894.44,704022.7357,2325833.651,2491167.165,15270506.35,-3283567.312,101013319.2,,7096419.931,10490019.9,Sospechoso
1364926.926,17002427.92,3741147.945,1360804.1919999998,2609871.3540000003,-7973654.109,19044507.7,,4904985.6110000005,150632.2295,23166995.9,-4480731.237,275408320.8,65967430.5,3770301.976,5870093.267000001,Sospechoso
,,2123837.733,1491951.3,473142.2907,,23675223.17,216983.8178,2987443.709,1218346.094,10585719.41,-5258448.915,60702766.59,,5286092.857,9176441.634,Sospechoso
4216998.0989999985,20031478.11,,7806667.991,4646324.636,,15756682.28,534665.7395,4229595.682,164905.1242,20481994.8,-4289842.261,242787690.6,,9658031.151,12136944.8,Sospechoso
,36822314.3,5157939.175,2182680.725,1099006.418,-6729899.542,32862512.65,,3558969.111,24883247.97,4513057.99,-1862632.557,64694985.67,264153916.7,26269270.76,32980664.46,Sospechoso
2137420.88,9634787.579,725695.3033,2701403.777,915654.589,-11124413.48,7726823.731000002,880762.1259999998,10607463.35,750703.2335,20322188.06,-5513883.115,67452037.41,,985861.6857,1543584.945,Sospechoso
762552.7740000002,6620673.325,13196139.2,102765.1674,549141.4723,-272100.0764,8039667.524,793423.7492,4613050.268,3404611.795,14446532.05,,81222468.58,52914532.72,1381329.517,3966988.065,Sospechoso
102665.7302,1873434.049,35244.56998,359872.2228,286734.4508,-3335923.097,1499793.7219999996,174808.1659,3676172.468,265704.2171,11269556.56,-3016128.355,,2109880.174,241634.1461,175541.3139,Sospechoso
2293306.089,38942937.55,8482490.169,9179146.482,1428674.495,-7029277.852000001,43023735.86,,,621692.4237,21874977.83,-4669414.116,173034961.2,233671355.4,27805366.22,24356071.7,Sospechoso
241397.4527,5002696.977,528672.0005,2347245.51,1633186.701,-2973526.934,6585639.641,74618.67588,1230207.902,6493.242418,7449979.714,-5548737.427999998,47928200.02,,3068537.802,3578195.271,Sospechoso
16321832.12,20114477.41,2674940.881,,1365816.58,,14835608.25,,5833215.94,4077495.025,7693446.935,-3470474.3210000005,58199063.66,98803543.19,2281351.561,12164280.16,Sospechoso
411167.5803,,637066.3572,1735814.081,2068961.605,,6016234.368,152163.0931,5382240.356000002,,20061217.61,-3684207.14,111207706.0,,6723995.81,2611882.243,Sospechoso
337444.2729,20111281.69,870377.753,5531650.919,2524482.704,-7574571.573,16433001.26,203738.5149,,5987.812719,20025069.48,-4830453.997,147399906.1,137649411.6,13372491.47,8436749.868999999,Sospechoso
2613031.8540000003,14172593.85,3115011.654,921743.824,2064975.432,-8683095.844,14059337.37,673234.2102,13539962.53,6104921.731000002,12640135.0,,118484904.1,81508624.24,4545306.263,3942124.212,Sospechoso
4601166.588,12878105.28,7479886.819,12650324.57,4345361.926,-4592776.995,27220810.39,539255.851,5661370.33,1944426.98,,,111598690.3,1086032979.0,26497551.5,19440629.62,Sospechoso
,17196897.93,8908924.473,2734526.958,716975.4797,-3421643.152,20981240.54,2235784.862,5640825.59,4299604.859,10634987.04,,,,,14794756.35,Sospechoso
145420.828,17284445.55,6367587.097,40529.50301,111802.7487,-521852.2511,,392168.4267,147850.09900000002,1239835.312,,-3202017.312,89317646.97,,6352534.062000001,16925474.22,Sospechoso
170253.1261,3176532.0539999995,,283713.5406,,,4818719.413,273651.7014,3296011.258,322950.3135,14139052.76,-2724509.488,86297740.75,13206647.86,3878826.235,2127413.994,Sospechoso
295874.7056,13352318.88,1605132.208,144368.1348,227625.9485,,12396752.04,241898.4236,2012414.891,1801466.688,15242176.61,,57930952.43,21784044.09,3369050.166,5784666.797,Sospechoso
2265405.785,9649817.823,6508856.536,,1001968.526,,14935739.11,230417.772,4518779.044,523194.4058,8902838.52,,73842492.49,128261266.0,3493385.603,,Sospechoso
513716.7084,4254716.05,88985.96425,5282518.4169999985,2153989.993,-8216168.712999999,,190786.7133,,20736.60416,14997222.18,-3384855.342,70242175.34,25018966.09,1898369.246,1485420.489,Sospechoso
312408.2708,4139827.314,1835007.28,398422.4545,,,,320293.4002,,493283.02,10927897.38,,,4131143.678,982481.9294,1824593.216,Sospechoso
,,14404880.95,408261.5661,480721.2925,,,,2658492.622,4694893.549,12810141.08,-3879234.665,106589256.6,77535917.37,11041102.28,20325071.73,Sospechoso
162785.5667,5803755.813999998,571806.3599,280168.2156,814930.8704,-6102342.556,3353493.163,,236158.3453,7124.534173,16108908.62,-3782828.663,72901625.82,32224329.82,3880335.138,5783502.841,Sospechoso
5930571.706,27301875.1,1295046.817,37699227.43,1518098.5990000004,-10009789.25,25302851.54,2389443.942,11536246.16,,16877220.32,-2488088.154,84024662.55,58672944.12,,11251056.71,Sospechoso
1397143.186,32684859.09,4197527.05,2393241.297,1016142.825,-7127363.142000001,25513491.16,722969.1459,7002262.049,1435837.907,22709338.12,-4654600.798,,46752559.56,5910017.033,8668252.432,Sospechoso
799809.7417,16326156.1,,926592.6428,877527.2372,-5786149.698,14833121.87,681520.0849,,2445488.983,18050403.14,-3843797.735,92440355.32,34039561.21,,6650145.173,Sospechoso
671989.8278,19279401.1,5031219.454,263142.6985,658425.8054,,20408631.55,1115310.569,3536041.3010000004,,17392887.06,-2103438.432,123999919.5,34695043.47,14681719.13,13133118.89,Sospechoso
159495.8866,,,2114093.577,717990.5759999999,,10458321.79,,1500967.872,278064.0064,,-4689219.913,53250302.89,35589852.72,6007879.646000002,6714346.408,Sospechoso
,,3568757.257,2447357.6780000003,750424.7464,411494.5455,23758884.02,258112.7712,2452885.213,281603.9754,14826022.88,,95634529.71,,13441609.32,11183048.62,Sospechoso
704975.5791,14759182.01,,279356.1107,209496.909,-2288024.332,16410406.02,,1041033.339,1754962.34,10651355.35,,,17121114.97,8312452.115,13515081.13,Sospechoso
376156.4358,36599635.9,20523350.16,95651.8174,72226.38985,-2151798.009,,386636.4216,2418781.085,471619.4263,24063818.67,-4853743.5989999985,169422438.2,,22135231.51,13737773.03,Sospechoso
328540.5872,6717960.573,3180111.5110000004,173551.9824,64674.44379,-2204686.097,9511783.598,250841.6988,,565294.4554,9968797.781,-7521779.256,,37159222.98,,2903511.393,Sospechoso
706585.1767,17915590.69,2968123.983,3887837.371,1232079.729,-1189854.521,,467403.9602,,1288466.341,,-3283402.6789999995,85701071.65,36523219.31,8024978.517000001,7522306.9339999985,Sospechoso
472310.1686,,735211.5371,,1463335.958,,14622359.21,,3696842.063,31597.39234,23535240.84,-3703276.412,,,14390901.9,8450636.126,Sospechoso
261363.0278,13294025.08,4834194.437,558564.6054,584167.567,1607655.199,14409764.76,523462.4886,981714.7515,1210416.62,15954929.54,-2798957.225,85023635.16,24087611.19,7746461.727999999,13386867.05,Sospechoso
395732.1123,8461810.729,684197.4711,346671.6126,2664122.621,-10145636.89,3488338.272,70563.68505,3638697.216,12544.7548,22997463.89,-3290231.787,186628129.2,28947145.99,1846584.047,1662347.207,Sospechoso
163495.5775,10008146.12,970686.8978,1900398.382,1053946.708,-1652695.8280000002,20669505.34,319897.4841,292893.7552,,16434523.6,-2970692.252,139327543.3,37385324.2,18293314.9,13183790.04,Sospechoso
2593500.43,19392428.69,2567049.893,1430008.116,,,18956882.43,551553.6828,2080169.757,3848111.578,10158978.15,-2209844.877,62152346.81,,11660089.52,17469014.78,Sospechoso
60451.11882999999,452245.5605,502083.2253,10273.41534,658610.9823,-4462783.483,,48087.06848,3223757.091,119242.7633,12850472.83,-3160906.956,36834088.4,7084982.105,547589.3823,139896.1909,Sospechoso
922510.2717,49608206.35,13587343.28,,1314144.544,-3110337.941,32356470.32,947242.8531,,194781.9794,30255896.4,-5928741.033,226406180.3,103039413.7,,17788418.76,Sospechoso
,31507361.87,3042502.66,25276685.6,2191184.7180000003,1088806.16,19963764.18,490378.6894,4727473.387,22350.59772,17955515.41,-6401418.774,110674505.7,,5281454.334,6037380.512999998,Sospechoso
932167.8922,4581063.416,,,804560.6083,-6011347.786,7420645.502,,3765348.047,52697.83821,9747524.078,-6509156.547,46132700.57,56041704.51,911541.9845,1928964.459,Sospechoso
168215.1687,21814334.36,5843429.635,428234.0632,660165.6423,641961.4862,22809603.07,71320.83532,381385.3733,87289.13516,11731264.01,-3139536.327,117599203.5,61903916.19,24995164.81,20152236.57,Sospechoso
376923.0268,13520490.78,1794899.305,980819.8584,506409.6704,,10124697.81,182478.3266,3462106.457,142438.5971,15590104.75,-4096195.023,70455545.45,18006072.36,4814610.61,3966936.545,Sospechoso
,13901321.21,795182.9535,326650.9022,,,6994731.771000002,355829.7693,351181.94,104182.8862,20362599.26,-4253591.655,32353658.45,,3599798.803000001,7046582.171,Sospechoso
1080562.931,17384988.74,,124279.561,177794.6291,,,389143.0457,11258622.3,6760464.515,12726943.79,-7618362.632,,99346749.27,1905233.344,4178252.426,Sospechoso
1320368.758,44668413.32,4066525.5,10797155.92,437820.4397,-8247148.7820000015,60690460.27,1014547.357,16985419.09,976869.1181,22082568.79,-8235627.004,77860593.43,246097014.2,8852302.642,6922513.364,Sospechoso
1014269.992,23309616.7,3782586.388,6893103.681,986519.579,,,676792.5848,2433637.941,1492774.809,,-5110008.106000002,40115831.78,156957877.4,8347843.235,15717853.67,Sospechoso
227362.6676,14609652.08,877287.6994,1731176.4009999996,446050.915,,7559597.107000002,370398.8949,1528960.5269999998,77742.34541000001,15778759.38,-4087654.415,47164271.97,22866317.27,6988053.028,5829420.132,Sospechoso
2702214.613,26107463.61,8284787.513999999,4175797.05,630237.4924,-2743868.564,,329555.6487,10136340.05,3345664.972,8565673.862,-2751688.294,85693619.0,46228185.58,19910605.62,13296136.76,Sospechoso
865735.7767,13625811.21,5216292.521000002,1663813.914,1548085.358,-3020411.547,14949315.2,147375.3645,,413872.7932,6358820.377,-4092616.934,84379627.44,122620534.6,14646285.45,7934742.676,Sospechoso
348909.4071,21142524.78,2770968.715,835784.6917,859865.7712,-2669577.519,32172927.63,269408.6804,2936137.066,2227186.825,12631592.99,-4818331.677,82716777.16,104440339.0,11951596.5,12969428.92,Sospechoso
,,,1835194.955,,-2561349.648,8929357.579,290268.3127,8916952.351,595511.0884,8267338.543,-5191967.041,,68929935.78,3409511.605,,Sospechoso
877276.7894,,2974852.185,1708835.294,,-5022096.804,21160302.77,231284.6316,125816.8666,250503.2442,,-3384260.782,55012049.35,43425283.76,16334471.04,28385963.09,Sospechoso
1880364.597,43145506.83,,10334339.92,2132430.977,-10155246.96,,683118.7326,2260836.853,357000.2004,19495693.33,-5093847.031,,562283654.3,,26124701.18,Sospechoso
223668.2532,,6903113.784,,777190.542,437419.8979,13665062.98,421986.3766,,1269252.01,14864507.14,-5983344.502,81277992.51,84077498.05,5140456.671,7053987.6170000015,Sospechoso
228426.4786,20173085.97,720869.1221,8538110.218,361678.9477,-492463.9653,27885399.83,190456.8787,607913.9993,,7718217.325,-4320563.414,35308905.56,47680714.29,,,Sospechoso
531599.244,16930170.49,,,1320445.145,-1690023.875,13667745.8,478484.0946,2258506.455,,8036098.658,,72327734.75,129545861.3,15744714.13,12486813.49,Sospechoso
,22934957.27,4322878.965,4410587.1839999985,1305077.652,-4879399.698,32848201.99,433981.2793,2050147.07,977726.7985,7988155.222999998,-5017814.57,95293149.88,316529801.2,,19799794.85,Sospechoso
165984.1603,6943071.041,2474828.512,185280.8552,282501.5713,1397520.802,10788943.86,110786.618,1360844.78,345629.2813,16799239.05,-3142883.484,79649803.09,5565769.234,1573665.021,,Sospechoso
920701.9562,46067283.58,4437002.8089999985,8413515.04,,-9240775.141,50752985.53,361104.5693,,,32994215.64,,274389118.8,182688163.9,4411318.825,3990731.833,Sospechoso
990557.4668,25212019.62,,6527715.68,,-8506279.599,23846270.18,416154.1005,7788959.58,591378.2128,,-5304844.9180000005,86679151.31,237752052.6,15304675.61,9139489.391,Sospechoso
1570675.7319999996,19953940.56,3726579.771,905775.8105,,-4919965.385,22908490.55,,,2659749.725,9719582.067,-2849573.441,69271496.69,37556750.56,8968147.118999999,,Sospechoso
1120284.577,4051661.433,2572268.3430000003,2618915.623,1791565.694,-128384.6508,9966244.702,234342.0918,4852464.132,1336858.463,1623005.955,-3594438.817,50500045.63,,3368380.96,4223001.882,Sospechoso
5143262.447,21338232.73,11874948.39,3130747.729,2263597.71,-6005039.727000001,28804315.84,556357.2381,11456392.98,3510653.1210000007,11475405.29,-5061779.347,137394487.7,317829191.1,11198675.61,11936741.09,Sospechoso
908374.9994,3293095.992,3059941.924,671597.9341,319702.8792,,,455139.3928,9214319.815,4816662.015,,-4012282.911,16103465.85,,3886649.097,2536074.431,Sospechoso
1053999.539,,2753348.609,1911059.067,947921.9959,-3033950.797,,615954.4412,2361189.832,,8028367.161,-3647175.495,66442119.89,65795169.74,7606556.217,10733370.97,Sospechoso
6433445.636,56000083.02,11910266.65,2597546.206,1419361.866,-8298306.252,30530829.36,1266726.653,6311776.961,8234758.011,18691570.35,-3787400.807,151253344.9,188385694.0,9881205.262,25231772.72,Sospechoso
,29164937.22,3652073.053,1402480.2869999998,1524835.376,,33359019.12,101936.8933,4140920.314,421110.107,16330143.53,-4530131.2919999985,205574636.4,67050189.54,7856703.393999998,9260480.779,Sospechoso
2384920.157,30025206.67,,338868.6621,,-5701743.517000001,36565859.17,772330.9304,5000102.171,,15875801.28,-2513446.839,84477947.14,41976600.82,23408660.63,23456328.87,Sospechoso
,934071.4266,47326.17969,291077.3876,328889.2581,-6279563.982000002,1558881.45,114109.3296,1167116.21,,14481508.47,,,8900864.763,670829.8849,575048.3998,Sospechoso
993350.1916,24170043.72,19491781.49,2344667.302,1250575.904,-407372.5013,46275071.65,,7544983.568,339979.6402,25513410.59,-7898003.567000002,208095418.0,235405139.2,5370067.93,,Sospechoso
1393402.752,9907826.625,3453003.092,575059.8974,222435.4639,-3290576.773,10912161.0,433280.745,2795998.671,,,-4538392.071,,50076710.04,,8042402.4410000015,Sospechoso
1403578.998,30834139.74,13650625.61,1618929.695,123198.517,-1294048.73,,5266543.79,16878335.28,12103003.76,15214964.87,-7060260.672,35735012.94,,9526510.348,,Sospechoso
809471.3469,15853030.22,1163304.756,16248607.29,,-3388425.374,,,,291331.1481,12470495.95,-2635059.143,149462244.3,113725043.8,16324958.36,15439476.08,Sospechoso
